Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Keyword	Course Url	Duration to complete (Approx.)	Number of Review
Business Process Modelling	4.6	Beginner level	Flexible schedule	Identify and scope business processes effectively.  Analyze process logic to enhance efficiency and effectiveness.Choose suitable modeling notations for clear representation.	Business Operations, Business Modeling, Notations, Sequencing, BPMN	Business Process Modelling	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/business-process-modelling	8.0	28
Leading the Modern Day Business Specialization	4.7	Beginner level	Flexible schedule	"How to utilize BCG's digital transformation framework as a ""how-to"" for digitizing your organizationWhat design thinking is and when to use itInstrument relevant, actionable analytics into your product programHow to take the many ideas you generate and determine which ones are likely to produce specific, desired outcomes"	Storytelling, Marketing, Innovation, Business Strategy, Leadership And Management	Digital Transformation, Design Thinking for Innovation, Digital Product Management: Modern Fundamentals, Customer-Centric IT Strategy	Michael Lenox, Sonja Rueger, Jeanne M. Liedtka, Ching Fong Ong, Alex Cowan, Amane Dannouni	University of Virginia, BCG	Business	https://www.coursera.org/specializations/leading-modern-day-business	40.0	2909
Introduction to Data Analysis using Microsoft Excel	4.7	Intermediate level	Hands-on learning	Create an account with Microsoft Office 365 online and upload a document.Use sorting and filtering tools to perform simple data analysis.Use functions such as IF, VLOOKUP and create PivotTables to perform more advanced data analysis.	Formulas and Functions in Spreadsheets, Data Analysis, Data Calculations	Learn step-by-step	Paula Del Rey	Coursera Project Network	Business	https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel	2.0	2212
IBM Project Manager  Professional Certificate	4.8	Beginner level	Flexible schedule	Master the most up-to-date concepts, tools, principles, and language project managers use in their daily roles.Track and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycle.Incorporate Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and customer value.Apply your skills to projects and build a portfolio that showcases your proficiency to employers while preparing for the CAPM certification exam.	Project Management, Risk Management, Communication, Leadership, Project initiation	Introduction to Project Management , Project Management Foundations, Initiation, and Planning, Project Lifecycle, Information Sharing, and Risk Management, Project Management Communication, Stakeholders & Leadership , Introduction to Agile Development and Scrum, Project Management Capstone, Practice Exam for CAPM Certification	IBM Skills Network Team, Daniel C. Yeomans, Bethany Hudnutt, Rav Ahuja, Skill-Up EdTech Team, John Rofrano, Kasie Kyle	IBM, SkillUp EdTech	Business	https://www.coursera.org/professional-certificates/ibm-project-manager	120.0	290
Small Business Marketing Using LinkedIn	4.2	Beginner level	Hands-on learning	Create a LinkedIn profileShare content Join and create groups	Create a LinkedIn profile, Share content on LinkedIn, Create a LinkedIn group, Customize your LinkedIn profile, Join LinkedIn groups	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/small-business-marketing-linkedin	1.0	66
Google Ads for Beginners	4.4	Beginner level	Hands-on learning	Create a Google Ads account and set up first campaign structureCreate ad groups, do keyword research, set up audience targeting, and write adsLearn how to use the tools and settings available to optimize campaigns and make them profitable  	Keyword Research, Marketing, Digital Marketing, PPC Advertising, Paid Search Advertising	Learn step-by-step	Ishita Sinha	Coursera Project Network	Business	https://www.coursera.org/projects/google-ads-beginner	2.0	3968
Introduction to Business Analysis Using Spreadsheets: Basics	4.3	Beginner level	Hands-on learning	Apply the basics of google sheets and Mathematical Functions.Apply how to clean the data, and visualize quantities and categorical data.	Spreadsheet, Mathematics, Data Analysis, Business Analysis, Data Visualization	Learn step-by-step	Omnya Khaled	Coursera Project Network	Business	https://www.coursera.org/projects/business-analysis-using-spreadsheets	1.5	849
Salesforce Sales Operations Professional Certificate	4.6	Beginner level	Flexible schedule	Build reports, charts and dashboards in Salesforce to communicate relevant information about sales performance to stakeholders and executives.Use Salesforce Sales Cloud Lightning to manage accounts, opportunities, products, quotes, and contracts.	Sales, Sales Operations, Salesforce, CRM, Salesforce Lightning	Sales and CRM Overview, Lead Management in Salesforce, Opportunity Management in Salesforce, Reports, Dashboards, and Customer Success in Salesforce	Anthony Jones, Angela Prakash, Trailhead	Salesforce, Pathstream	Business	https://www.coursera.org/professional-certificates/salesforce-sales-operations	120.0	1124
Product Management	4.6	Beginner level	Flexible schedule	Entender la función del marketing y distinguir sus distintos niveles para desarrollar productos competitivos y conocer a los potenciales clientes.Emplear oportunamente diversas estrategias de acuerdo a los momentos que un producto puede necesitar.Reconocer distintos grupos de clientes y diseñar experiencias positivas para ganar la preferencia y fidelidad de los mercados.	Productos, Clientes, Mercados, Estrategia, Marketing	 La gestión de productos en los mercados competitivos de hoy, Descubriendo lo que los clientes quieren, El producto más allá del producto: el valor de la marca y la experiencia	Gustavo Alonso	Universidad de Palermo	Business	https://www.coursera.org/learn/product-management	10.0	141
Making Successful Decisions through the Strategy, Law & Ethics Model	4.7	Beginner level	Flexible schedule	Make successful business, personal, and leadership decisions.Understand the importance of thinking globally in today's business world.Create value for your organization while managing risk in an ethical manner.Understand the importance of thinking globally in today's business world.	Decision-Making, Managing Risk, Decision Trees, Intellectual Property, Ethical Leadership	Welcome to Making Successful Decisions through the Strategy, Law & Ethics Model!, Use the Three Pillar Model for Personal, Leadership and Business Decisions, Use Employment Law to Attract and Retain the Best Business Talent, Meet Your Customers’ Needs: Transform Product Liability into Product Innovation, Create Business Opportunities Through Government Regulation, Use Your Intellectual Property to Create Shareholder Value, Develop Contracts that Create Value for Both Sides, Use Dispute Resolution Processes for Value Creation, Create and Lead an Ethical Business, Final Examination	George Siedel	University of Michigan	Business	https://www.coursera.org/learn/strategy-law-ethics	21.0	411
SAS Statistical Business Analyst Professional Certificate	4.7	Intermediate level	Flexible schedule	Perform ANOVA, Regression, and logistic regression analysis with one or many inputsPrepare inputs for predictive modelsTrain, validate, and evaluate statistical models	Predictive Modelling, SAS Programming	Introduction to Statistical Analysis:  Hypothesis Testing, Regression Modeling Fundamentals, Predictive Modeling with Logistic Regression using SAS 	Jordan Bakerman, Marc Huber	SAS	Business	https://www.coursera.org/professional-certificates/sas-statistical-business-analyst	40.0	129
Macroeconomics for Business Management	4.8	Beginner level	Flexible schedule	Concept of Gross Domestic Product, why it is crucial for your business plan as it is also considered to be the income of the countryComponents of the Gross Domestic Product: consumption, investments, government, exports, imports and Keynes multiplierMonetary Policy, Balance of Payments, and Real Exchange Rate	Macroeconomic analysis	Gross Domestic Product (GDP) concept and components, GDP Components: Investments and Government, GDP Components: Exports, Imports and Keynes multiplier, Inflation, Monetary Policy, and Balance of Payments	Roberto Dumas Damas	Fundação Instituto de Administração	Business	https://www.coursera.org/learn/macroeconomics-for-business-management	13.0	339
Leadership Skills	4.8	Beginner level	Flexible schedule	Acquire an understanding of oneself and build inner stability.Describe various leadership styles and how to lead downwards.Explain the biases that impact communication and a leader’s decision-making capability.Explore the art of leading upward and sideways.	Mindfulness, Leading and managing change in organisation, Leading subordinates effectively, Positive Personality, Supportive communication	Leading the Self: Mindfulness, Inner Stability, and Positive Strengths, Leading Downward: Leader Behaviors and Leadership Styles, Building Sustainable Relationships: Supportive Communication and Decision-making Biases , Power, Politics, and Leading Upwards , Ethics, Culture, and Change Management, Leadership and Ancient Indian Wisdom: Lessons from the Mahabharata , Peer Review Assignment	Vishal Gupta	IIMA - IIM Ahmedabad	Business	https://www.coursera.org/learn/leadershipskills	46.0	1025
Fundamentals of Business Analysis 	4.5	Beginner level	Flexible schedule	Define and prioritize business analysis tasks within a project scope.  Develop comprehensive plans for conducting business analysis activities.  Identify key stakeholders and establish effective collaboration strategies with them.  Collect and document various types of requirements to support project objectives.  	Business Analysis, Business Analysis Methodology, Requirements Analysis, Stakeholder Identification, Solution Delivery	Fundamentals of Business Analysis 	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/fundamentals-of-business-analysis	6.0	32
Digital Business Strategy	4.7	Beginner level	Flexible schedule	How to assess an organization's digital transformation readiness by analyzing trends, evaluating competitors, and examining unique capabilities.How to identify an organization’s position in the competitive lifecycle and anticipate future industry trends to inform strategic decisions.How to envision an organization’s desired digital position while ensuring alignment with market trends and organizational strengths.How to generate value-creating offerings, develop the necessary capabilities to execute their digital strategy, and secure sustained value.	Digital Strategy, strategy, Business Strategy, Digital transformation	Rise of the Digital Age, Platforms in the Digital Age, Competing in the Digital Age, Appropriating in the Digital Age	Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-digital-business-strategy	5.0	28
Build your business brand using Canva	4.2	Beginner level	Hands-on learning	Find out why it's important to build a brand and learn how you can do it using Canva.Create your logo and learn how to reach the right audience.	Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design	Learn step-by-step	Monica I. Heredia Rodriguez	Coursera Project Network	Business	https://www.coursera.org/projects/build-your-business-brand-using-canva	2.0	20
New Models of Business in Society	4.7	Not specified	Flexible schedule	New models of how to run an effective business that makes the world a better placeCorporate responsibility, philanthropy, and building sustainable valueCreating value for stakeholders through conscious capitalism and stakeholder theoryHow to develop a business idea that makes money and makes the world a better place	Environmental Economics, Business Model, Stakeholder Theory, Management, Entrepreneurship	Business in Society: The Problem, Corporate Philanthropy and Corporate Social Responsibility, Creating Value for Stakeholders, Becoming a Stakeholder Entrepreneur	R. Edward Freeman  	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-business-society	5.0	3969
Intuit Academy Bookkeeping Professional Certificate	4.6	Beginner level	Flexible schedule	Build a foundation of basic bookkeeping concepts and accounting measurement.Learn how to work through the various phases of the accounting cycle to produce key financial statements.Practice interpreting and analyzing financial statements to make key business decisions.	Double-Entry Bookkeeping System, Bookkeeping, Bank Reconciliations, Accounting Concepts and Measurement	Bookkeeping Basics, Assets in Accounting, Liabilities and Equity in Accounting, Financial Statement Analysis	Intuit Academy Team	Intuit	Business	https://www.coursera.org/professional-certificates/intuit-bookkeeping	80.0	4985
Improve Business Performance with Google Forms	4.7	Intermediate level	Hands-on learning	Create a Google Form, as well as add and edit questions in the survey.Send your form to recipients, and temporarily pause or stop collecting responses when the need arises.Analyze responses in Google Forms.	Graphs, Google Forms, Survey, Customer Satisfaction, Analyze	Learn step-by-step	Melissa Al-Shaer	Coursera Project Network	Business	https://www.coursera.org/projects/improve-business-performance-with-google-forms	1.0	547
Business Operations Support in Google Sheets	4.7	Intermediate level	Hands-on learning	Create a form within Google SheetsWrite formulas to track organizational requirementsSummarize the data in order to make day-to-day organizational decisions	Data Analysis, Business Operations, Google Sheets	Learn step-by-step	Melissa Al-Shaer	Coursera Project Network	Business	https://www.coursera.org/projects/business-operations-support-in-google-sheets	1.0	190
Digital Business Specialization	4.5	Beginner level	Flexible schedule	You will learn concepts and mechanisms impacting the digital economy and society at large. You will develop analytical and business skills.	understand the contexts and ecosystems of digital business, choose a KPI, apply the principles of growth hacking, analyze a digital business process, define and formulate a strategic shift	Digital Business - Understand the digital world, Digital business - Act on the digital world, Digital business - Grow on digital world, Digital Business - Capstone project	Laurent Gille, Thomas Houy, Valérie Fernandez	Institut Mines-Télécom, École Polytechnique	Business	https://www.coursera.org/specializations/digital-business	40.0	46
Business Intelligence (BI) Essentials	0.0	Beginner level	Flexible schedule	Explain the concept of business intelligence (BI), the key components and challenges involved, and the career options in this field.Describe data analytics and its significance in BI, recognizing its role in extracting insights from data.Evaluate different business intelligence tools and technologies used to analyze the business context and requirements of a BI project.Develop actionable insights using appropriate tools and techniques for data gathering, wrangling, analyzing, mining, visualizing, and reporting.	Data Wrangling, Data Analysis, Data Warehousing, Data Visualization, Data Mining	Introduction to Business Intelligence (BI), The Data Ecosystem, BI Analytics Landscape, Gathering and Wrangling Data, Mining and Visualizing Data and Communicating Results , Applying BI Techniques and Final Project 	Rav Ahuja	IBM	Business	https://www.coursera.org/learn/business-intelligence-essentials	14.0	0
Create a Business proposal with Visme for businesses	0.0	Beginner level	Hands-on learning	You will have all the basic skills to create a Business proposal using VismeYou will be able to design a professional Business proposal in which you describe your company and your offer in detail	Business Plan, Business Writing, Business Strategy, Entrepreneurship, visme	Learn step-by-step	Sara Nefzaoui	Coursera Project Network	Business	https://www.coursera.org/projects/create-a-business-proposal-with-visme-for-businesses	2.0	0
 Build a social media presence for your business using Canva	4.7	Beginner level	Hands-on learning	Learn how to built your social media presence for your small businessEstablish your audience and learn how you can reach them	Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design	Learn step-by-step	Monica I. Heredia Rodriguez	Coursera Project Network	Business	https://www.coursera.org/projects/build-a-social-media-presence-for-your-business-using-canva	2.0	20
The Science of Success: What Researchers Know that You Should Know	4.8	Beginner level	Flexible schedule	Understand how to get better results at work and school.Achieve personal career success.Practice enjoying a meaningful, happy, and healthy life.	Personal Branding, Planning, Social Capital, Self-Motivation	Introduction to the Science of Success: What Researchers Know that You Should Know, The Power of Beliefs , The Power of Expertise , The Power of Self-Motivation , The Power of Relationships , The Power of a Plan: Creating Your Action Plan, Your Personalized Action Plan	Paula Caproni	University of Michigan	Business	https://www.coursera.org/learn/success	11.0	2705
HRCI Human Resource Associate Professional Certificate	4.8	Beginner level	Flexible schedule	Explain the requirements and techniques to recruit and retain talent for an organizationUnderstand how performance management and feedback impact employee relations in an organizationEvaluate the various benefits of total remuneration and technology for an organization	Employee Relations, Training development, Performance Management, Recruitment, Compliance strategy	Talent Acquisition, Learning and Development, Compensation and Benefits, Employee Relations, Compliance and Risk Management	Rhea Bautista, Rachel Landers, Brad Boyson, Michelle Alvarado	HRCI	Business	https://www.coursera.org/professional-certificates/hrci-human-resource-associate	120.0	518
Microsoft 365 Fundamentals Specialization	4.7	Beginner level	Flexible schedule	You will learn how to work more collaboratively and more effectively using a suite of productivity-enhancing applications.	Create and edit a workbook with multiple sheets, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Represent data visually, Create and maintain professional looking documents	Work Smarter with Microsoft Word, Work Smarter with Microsoft Excel, Work Smarter with Microsoft PowerPoint	 Microsoft	Microsoft	Business	https://www.coursera.org/specializations/microsoft-365-fundamentals	80.0	2122
Global Procurement and Sourcing Specialization	4.7	Beginner level	Flexible schedule	Why Procurement is important to the firm and it works within the firmHow to select and evaluate suppliersLearn how to analyze supply marketsIimprove your negotiation skills and thereby improve your outcomes	Negotiation, Contracts	Procurement & Sourcing Introduction, Procurement Basics, Strategic Sourcing, Supplier Management, Supply Market Analysis, Procurement Negotiation, Strategic Procurement and Sourcing Conclusions	Don Klock 	Rutgers the State University of New Jersey	Business	https://www.coursera.org/specializations/procurement-sourcing	40.0	1548
Introduction to Finance and Accounting Specialization	4.4	Beginner level	Flexible schedule	Discounting and compounding arbitrary cash flow streams in order to value different claims and make better financial decisions.Difference between NPV and Internal Rate of Return (IRR)Classification of cash flows into operating, investing, and financing activitiesHow companies account for investments in debt and equity securities	Financial Accounting, Accounting, Decision-Making, Corporate Finance, Financial Statement	Fundamentals of Finance, Introduction to Corporate Finance, Introduction to Financial Accounting, More Introduction to Financial Accounting	Brian J Bushee, Jessica Wachter, Michael R Roberts	University of Pennsylvania	Business	https://www.coursera.org/specializations/finance-accounting	40.0	2016
High-Impact Business Writing	4.5	Beginner level	Flexible schedule	Write effective presentations, emails, writing for visual communicationEdit and proofread business documentsCreate business reports and press releasesSpot, correct and avoid the most common writing pitfalls	Email Writing, Proofreading, Communication, Business Writing, Writing	Business Writing, Channels and Message Formats , Spelling, Grammar, Sentence and Paragraphs, Strategies and Techniques for Common Message Types , Writing Reports, Virtual Communications, and Finalizing Your Work	Sue Robins, M.S. Ed.	University of California, Irvine	Business	https://www.coursera.org/learn/business-writing	6.0	3711
Foundations of Digital Marketing and E-commerce	4.8	Beginner level	Flexible schedule	Define the fields of digital marketing and e-commerceDescribe the job responsibilities of an entry-level digital marketer and e-commerce specialistExplain the concept of a marketing funnelUnderstand the elements and goals of a digital marketing and e-commerce strategy	E-Commerce, Customer loyalty, Customer Outreach, Marketing, Marketing Analytics	Introduction to foundations of digital marketing and e-commerce, The customer journey and the marketing funnel, Digital marketing and e-commerce strategy, Measure performance success	Google Career Certificates	Google	Business	https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce	25.0	17077
Create a Project Management Tracker using Microsoft Excel	4.6	Beginner level	Hands-on learning	Create a new workbook in Microsoft Excel and share the document with others.Design and organize the project management tracker using formatting tools in Microsoft Excel.Add content to the project tracking spreadsheet with dropdown lists and conditional formatting.	Project Management, Spreadsheet, Project Planning	Learn step-by-step	Paula Del Rey	Coursera Project Network	Business	https://www.coursera.org/projects/create-project-management-tracker-microsoft-excel	2.0	552
SAP Technology Consultant  Professional Certificate	4.7	Beginner level	Flexible schedule	Learn key consulting skills most requested by SAP partners worldwide. Understand the global SAP business solutions, products and ecosystem. Gain skills across the whole lifecycle of an SAP implementation and enhance your CV/Resume with practical examples.  Explore planning and project management methodologies such as Waterfall, Agile, DevOps, and Cloud.  	Solution design and implementation, Understanding the SAP world and solutions, Business and process analysis, Client engagement and communication, How to launch and develop your SAP career	SAP Professional Fundamentals, Understanding the Enterprise Systems Environment, SAP Customer Engagement and Discovery, Designing an SAP Solution, Implementing an SAP Solution, SAP Technology Consultant Hands-on Project, Becoming an SAP Professional	Martin Gollogly, Dr Omar Sharaf, Leslie Reynolds, Miguel Alcobia	SAP	Business	https://www.coursera.org/professional-certificates/sap-technology-consultant	84.0	480
Building Your Freelancing Career Specialization	4.9	Beginner level	Flexible schedule	How to increase your success in a new business venture through overcoming your fears of failure, avoiding perfectionism, and staying motivatedHow to find and win clients by standing out in a sea of competitorsHow to package, price and pitch your services or products with confidenceHow to manage your business operations through both lean and plentiful times	Personal Branding, Marketing, Entrepreneurship, Strategy and Operations, Leadership And Management	Plan a Successful Freelancing Business , Making Money as a Freelancer, Launching Your Freelancing Business, Protect and Grow Your Freelancing Business , Building Your Freelancing Career Capstone	Tatiana Mulry	California Institute of the Arts	Business	https://www.coursera.org/specializations/freelancing	40.0	55
Create a business mind map with Coggle	4.7	Beginner level	Hands-on learning	Create a business plan with product and services market fit, company structure and executive overviewCreate a mind map with branches and keywords, signifiers and information hierarchyComment, share and manage revision history	Business Planning, Mind Map, Coggle	Learn step-by-step	Angelo Paolillo	Coursera Project Network	Business	https://www.coursera.org/projects/create-a-business-mind-map-with-coggle	2.0	26
Transforming the Fashion Business Specialization	4.7	Intermediate level	Flexible schedule	How to develop a fashion business model that incorporates sustainability, experiential methods, collaborations, and serves underrepresented groups.	Sustainability, Holistic Product Lifecyle, Fashion Design, Retail Management, Fashion Systems	Fashion Systems, Fashion Design, Fashion Retail Transformation	Keanan Duffty	Parsons School of Design, The New School	Business	https://www.coursera.org/specializations/transforming-fashion-business	40.0	390
Branding: The Creative Journey Specialization	4.6	Beginner level	Flexible schedule	Create a value proposition for a brand: How it can be positioned and mapped.Learn how to produce meaningful and engaging content.Develop a complete creative pitch.Examine Branding activities through the lens of Customer Experience.	Communication, Creativity, Journalism, CX, Branding	Brand Identity and Strategy,  Storytelling in Branding and Content Marketing , From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories, Branding and Customer Experience	Michael Thompson, MARÍA EIZAGUIRRE DIÉGUEZ, Pedro Cifuentes Huertas, Brian Hallett	IE Business School	Business	https://www.coursera.org/specializations/branding-the-creative-journey	40.0	995
Business Model Innovation	4.8	Not specified	Flexible schedule	Define what a business model is and why it enables you to approach innovation and strategy from a completely different angleUnderstand the 3 components of the business model and how they are linked Stimulate your creativity by capitalizing on the 14 directions toolboxAnalyze existing business models, create new ones or adapt existing ones using the Odyssey 3.14 approach	Strategic Management, Business Model, Business Modeling, Business Strategy	"MODULE 1: INTRODUCTION TO BUSINESS MODEL INNOVATION, MODULE 2: THE 3 COMPONENTS OF A BUSINESS MODEL,  MODULE 3: 7 DIRECTIONS FOR THE VALUE PROPOSITION , MODULE 4: 7 DIRECTIONS FOR THE VALUE ARCHITECTURE, ""MODULE 5: ITS YOUR TURN TO APPLY THE ODYSSEY 3.14 APPROACH!"""	Hélène Musikas, Laurence Lehmann-Ortega	HEC Paris	Business	https://www.coursera.org/learn/business-model	14.0	544
Fundamentals of Business Finance, with Goldman Sachs 10,000 Women	4.7	Not specified	Flexible schedule	Define and discuss the basic building blocks of financial statements: assets, liabilities, equity, revenue and expenses.  Interpret two key financial statements (Income Statement and Balance Sheet) to drive business decisions.  Identify the key business ratios that can be calculated using your Income Statement and Balance Sheet.  	Financial Statement Use and Analysis, Financial Terminology, Balance Sheet, Income Statement Analysis, Financial Ratio Analysis	Fundamentals of Business Finance, with Goldman Sachs 10,000 Women	Mori Taheripour, Sarah Underwood, Geetha Krishnan, Michael Fetters, Edward David, Goldman Sachs 10,000 Women, Anne Donnellon	Goldman Sachs	Business	https://www.coursera.org/learn/10k-women-2	4.0	912
Competitive Strategy	4.8	Intermediate level	Flexible schedule	Analysis of a company's opportunities, threats, strengths and weaknesses.Different types of competitive strategies and how to choose them.How do today's companies achieve long term success and profitability.	Strategic Management, Market Analysis, Strategic Thinking, Business Analysis, strategy	Module 1: What is Competitive Strategy?, Module 2: Competitive Advantage, Module 3: Choosing a Competitive Strategy, Summative Course Assessment 	M. Krishna Erramilli	Illinois Tech	Business	https://www.coursera.org/learn/illinois-tech-competitive-strategy	32.0	20
E-Marketing Specialization	4.7	Beginner level	Flexible schedule	Recognize the current landscape of the digital business environment and identify strategies to define, attract, and engage your audience onlineDevelop a digital marketing plan designed to meet your goals and objectives for any existing or new business, product, or serviceApply testing and analytics to optimize your marketing efforts and improve business outcomes	Mobile Marketing, Social Media, Marketing Optimization, Marketing Analytics, Search Engine Marketing (SEM)	Identifying, Attracting, and Growing Your Digital Audience, Strategies for Converting and Retaining Customers Online, Mobile Marketing, Optimization Tactics, and Analytics	Stephane Muller	University of California, Irvine	Business	https://www.coursera.org/specializations/emarketing	40.0	232
Construction Management Specialization	4.8	Beginner level	Flexible schedule	Major construction management fundamentals, key project scheduling techniques, types of cost estimates and monitoring project cash flow	Schedule, Finance, Cost Control, Real Estate finance, Cost Estimate	Construction Project Management, Construction Scheduling, Construction Cost Estimating and Cost Control, Construction Finance, The Construction Industry: The Way Forward	Ibrahim Odeh, Ph.D., MBA	Columbia University	Business	https://www.coursera.org/specializations/construction-management	80.0	7554
Create a Small Business Website with Weebly 	4.4	Beginner level	Hands-on learning	Create a free Weebly account Customize your websiteAdd and remove content	Create a Weebly account, Customize your Weebly account, Add buttons, Add content, Publish and un-publish your website	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/create-small-business-website-weebly	2.0	27
Tally Bookkeeper Professional Certificate	4.6	Beginner level	Flexible schedule	Explain and apply the fundamentals of accountingUse TallyPrime as an integrated business management softwareManage accounts receivable and accounts payableExplain and apply statutory and taxation concepts	Banking, tally prime, Finance, Bookkeeping, business accounting	Fundamentals of Accounting and Reporting, Principles of Accounts Payable and Receivable Management , Basics of Statutory Compliance and Taxation	Tally Education and Distribution Services Private Limited 	Tally Education	Business	https://www.coursera.org/professional-certificates/tally-bookkeeper	160.0	98
Storytelling and influencing: Communicate with impact	4.8	Not specified	Flexible schedule	Critically evaluate a range of theories to decode the components of persuasive communicationsApply a range of different strategies to a variety of contexts to build rapport, overcome resistance, and find acceptanceDevelop skills to interpret the motivation of the audience and influence the way they think and feel to support your ideas	Not specified	The necessary art of persuasion: Understanding what matters to your audience, Telling your story: Developing a dramatic narrative, Connecting with people: Developing authenticity and building rapport, Talk the talk: Creating impressions and guiding influential conversations, Painful truth: Dealing with objections and overcoming resistance, Winning over hearts and minds: How to pitch a brilliant idea	Arabella MacPherson, Associate Professor Lawrence Ang	Macquarie University	Business	https://www.coursera.org/learn/communicate-with-impact	18.0	1895
Business Opportunities and Risks in a Globalized Economy	4.8	Intermediate level	Flexible schedule	"Master forex valuation, macroeconomic impact, and government influence on currency values. Comprehend trade theories, identify trade ""losers,"" and analyze effects on economies. Explore global accounts, deficits, surpluses, migration's macro role, and challenges in globalization."	Not specified	"The USA: GDP, Inflation and Unemployment; Growth and Gaps: Reviewing the Basic Relationships. , Japan: Current Accounts and Currencies: International Economics Relationships, The European Integration Experiment: The Benefits of Trade and Migration, ""India and China: Economic Development, How it Occurs, and the Worlds Upcoming Giants"", Capstone"	Gayle Allard	IE Business School	Business	https://www.coursera.org/learn/business-opportunities-and-risks-in-a-globalized-economy	11.0	157
Automation for Business	0.0	Beginner level	Flexible schedule	Recall fundamental automation concepts and terminologies.Comprehend the benefits, challenges, and tools of business automation.Analyze automation opportunities and strategies for implementation.Evaluate the impact of automation on business operations and the future of work.	ROI Measurement and Optimization, Automation Strategy Development, Workflow Configuration and Integration, Ethical Considerations in Automation	Automation for Business	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/automation-for-business	4.0	0
Bookkeeping Basics	4.6	Beginner level	Flexible schedule	Define accounting and the concepts of accounting measurement.Explain the role of a bookkeeper and common bookkeeping tasks and responsibilities.Summarize the double entry accounting method.Explain the ethical and social responsibilities of bookkeepers in ensuring the integrity of financial information.	Double-Entry Bookkeeping System, Basis Of Accounting, Creating Financial Statements, accounting software, Accounting Cycle	Accounting Concepts and Measurement, The Accounting Cycle (Part 1), The Accounting Cycle (Part 2), Accounting Principles and Practices	Intuit Academy Team	Intuit	Business	https://www.coursera.org/learn/bookkeeping-basics	16.0	4251
Business Growth Strategy	4.7	Not specified	Flexible schedule	How to identify and evaluate opportunities to scale an organizationHow to enter new markets and apply game theory to analyze, assess, and respond to competitorsHow to assess the impact of a potential merger and acquisition and avoid common pitfalls of this type of growthHow to unlock the keys to innovation, from building an innovative capability to adding value from innovation to determining an innovation strategy	Strategic Thinking, growth strategy, innovation strategy, Mergers And Acquisitions (M&A), Business Strategy	Growth through Scaling, Growth through Entry, Growth through Acquisition, Growth through Innovation	Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-business-growth-strategy	10.0	645
 Fundamentals of Business Problem Solving	0.0	Intermediate level	Flexible schedule	Develop an understanding of the business process, including how to identify opportunities and risks.Utilize Microsoft Excel to create and manipulate spreadsheets. Interpret and analyze spreadsheet modeling outputs. 	Spreadsheet, Microsoft Excel, Business Analysis, Business Process, Business Strategy	Introduction to Business Problem Solving, Creating a Basic Business Model, Building Different Model Types, Model Optimization	Alton Henley	Howard University	Business	https://www.coursera.org/learn/fundamentals-of-business-problem-solving	16.0	0
Search Engine Optimization (SEO) Specialization	4.7	Beginner level	Flexible schedule	Complete a competitive analysis on a webpage  Develop a solid approach for achieving a productive and successful relationship with your client  Create influencer relationships and collaborations and analyze data to see which content gets the most sharesCreate a final report of your findings and recommendations for SEO and present your recommendations to your client  	Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media Marketing, Social Media, Content Marketing, Keyword Research, Marketing	Introduction to Google SEO, Google SEO Fundamentals, Optimizing a Website for Google Search, Advanced Content and Social Tactics to Optimize SEO, Google SEO Capstone Project	Rebekah May, Eric Enge	University of California, Davis	Business	https://www.coursera.org/specializations/seo	120.0	10847
Introduction to Business Analytics	4.7	Beginner level	Flexible schedule	Demonstrate a foundational knowledge of the business analyst role.Explain the foundational project management topics and skills used by a BI analyst.Describe data literacy and its importance for a BI analyst.	Data Analytics Lifecycle, Foundational Project Management, Data Literacy	Introduction to Business Analytics, Data Analytics Lifecycle, Project Management for Analysts, Data Literacy	Tableau Learning Partner Instructor 	Tableau Learning Partner	Business	https://www.coursera.org/learn/introduction-to-business-analytics	14.0	114
Leading Diverse Teams & Organizations	4.8	Beginner level	Flexible schedule	Understand when and why diversity benefits teams and organizations.Design equitable organizational processes.Develop behavioral skills to promote inclusive team environment.	Equity, Leadership, diversity, inclusion	Week 1 Diversity and Our Mindset, Week 2 Personal Diversity Challenges, Week 3 Organizational Equity, Week 4 Team Inclusion	Lindred Greer	University of Michigan	Business	https://www.coursera.org/learn/leading-diverse-teams-and-organizations	22.0	357
